KANTON;PROZENT
Genf;44.75
Basel-Landschaft;42.17
Waadt;41.5
Bern;41.04
Basel-Stadt;40.34
Tessin;39.97
Zürich;39.63
Jura;38.9
Neuenburg;38.06
Wallis;36.5
Freiburg;35.26
Aargau;34.38
Solothurn;33.66
Schweiz (Durchschnitt aller Kantone);33.52
St. Gallen;32.84
Graubünden;32.18
Thurgau;31.68
Glarus;31.08
Appenzell Ausserrhoden;30.74
Luzern;30.6
Schaffhausen;29.82
Schwyz;25.35
Uri;25.35
Nidwalden;25.28
Obwalden;24.3
Appenzell Innerrhoden;23.82
Zug;22.22
